	commit{dir=NRTCachingDirectory(MMapDirectory@/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-04-29 17:45:48.270; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-04-29 17:45:48.272; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-04-29 17:45:48.273; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-04-29 17:45:48.273; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-04-29 17:45:48.276; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-04-29 17:45:48.276; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-04-29 17:45:48.393; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-04-29 17:45:48.400; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.400; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.402; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-04-29 17:45:48.402; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.407; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-04-29 17:45:48.407; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2017-04-29 17:45:48.408; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2017-04-29 17:45:48.408; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-04-29 17:45:48.408; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-04-29 17:45:48.409; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-04-29 17:45:48.409; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-04-29 17:45:48.409; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-04-29 17:45:48.409; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-04-29 17:45:48.411; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-04-29 17:45:48.412; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-04-29 17:45:48.413; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-04-29 17:45:48.427; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-04-29 17:45:48.428; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.428; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.428; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.428; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.428; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.429; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.429; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.429; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.429; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.429; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-04-29 17:45:48.443; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-29 17:45:48.446; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-29 17:45:48.447; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-29 17:45:48.461; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-04-29 17:45:48.461; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-04-29 17:45:48.465; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-04-29 17:45:48.466; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-04-29 17:45:48.471; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@273e94d5[collection1] main
INFO  - 2017-04-29 17:45:48.476; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-04-29 17:45:48.481; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-04-29 17:45:48.486; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-04-29 17:45:48.489; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2017-04-29 17:45:48.491; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2017-04-29 17:45:48.500; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
